summary-3;;;;;;;;;;;;;;;;;;;;;;
run_label;display_name;status;architecture_name;augmentation_name;image_size;epochs;learning_rate;batch_size;best_epoch;best_val_accuracy;best_val_loss;test_accuracy;test_loss;precision;recall;f1_score;macro_f1;weighted_f1;total_training_seconds;max_memory_allocated_mb;run_dir;error_message
C3_size_256;C3: 256 x 256;ok;resnet18;none;256;20;0.001;32;17;0.9647435897435898;0.10675165041899069;0.9636276237782406;0.10375543766796942;0.9625158831003812;0.9652755654667091;0.9638937490058852;0.9636256477071395;0.963627237155634;3628.355185894;827.3349609375;cascade_resnet_experiments/exp3_image_size/C3_size_256;
C2_size_224;C2: 224 x 224;ok;resnet18;none;224;20;0.001;32;18;0.9605769230769231;0.10854923425194545;0.9636276237782406;0.10105553234138992;0.9702842377260982;0.9569926728257406;0.9635926222935044;0.9636275901606789;0.9636273828523813;3417.077293579;663.87451171875;cascade_resnet_experiments/exp3_image_size/C2_size_224;
C1_size_192;C1: 192 x 192;ok;resnet18;none;192;20;0.001;32;16;0.9557692307692308;0.12297075444307083;0.959782086204134;0.11097847402813275;0.9555205047318612;0.9649569926728258;0.9602155650657791;0.9597773111251462;0.9597799093298895;3678.871634298;515.2265625;cascade_resnet_experiments/exp3_image_size/C1_size_192;
C0_size_128;C0: 128 x 128;ok;resnet18;none;128;20;0.001;32;20;0.9541666666666667;0.15550299279200724;0.9541740105752283;0.15328567707299307;0.9657198824681684;0.9423383243071042;0.9538858432763625;0.9541722210012386;0.9541705232002737;3191.488246964;364.8515625;cascade_resnet_experiments/exp3_image_size_128_only/C0_size_128;
C4_size_512;C4: 512 x 512;Ok;resnet18;none;512;20;0.001;32;17;0.959936;0.119534;0.960263;0.110469;0.952426;0.969417;0.960846;0.960254;0.960257;5678.076089;2243.092285;cascade_resnet_experiments/exp3_image_size_512_only/C4_size_512;
