run_label,display_name,status,architecture_name,augmentation_name,image_size,epochs,learning_rate,batch_size,best_epoch,best_val_accuracy,best_val_loss,test_accuracy,test_loss,precision,recall,f1_score,macro_f1,weighted_f1,total_training_seconds,max_memory_allocated_mb,run_dir,error_message
F2_batch_32,F2: batch size = 32,ok,resnet18,none,256,20,0.0001,32,13,0.9701923076923077,0.08804517774245678,0.9690754686748918,0.08578582213314999,0.9626256281407035,0.9764256132526282,0.9694765143128262,0.9690701292135653,0.9690725384827004,3657.62053734,781.93701171875,cascade_resnet_experiments/exp6_batch_size/F2_batch_32,
F1_batch_16,F1: batch size = 16,ok,resnet18,none,256,20,0.0001,16,15,0.9658653846153846,0.1006781137524507,0.9713186989264541,0.08446318794389868,0.9722399489470326,0.970691302962727,0.9714650087677348,0.9713179448734792,0.9713188167472314,3860.2364795619997,587.05419921875,cascade_resnet_experiments/exp6_batch_size/F1_batch_16,
F3_batch_64,F3: batch size = 64,ok,resnet18,none,256,20,0.0001,64,20,0.9650641025641026,0.12264611717218007,0.9697163916039097,0.1132700442692181,0.979518855656697,0.9598598279706912,0.9695897023330652,0.9697158660061688,0.9697151180401529,3490.771494073,1328.51318359375,cascade_resnet_experiments/exp6_batch_size/F3_batch_64,
