epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_seconds
1,0.4301703577367669,0.2933447999831958,0.8045405982905983,0.8802884615384615,253.31453419499996
2,0.24938880716506232,0.26478426204277916,0.8985576923076923,0.8935897435897436,194.846173399
3,0.19455112888772264,0.16147560505912853,0.9225427350427351,0.9357371794871795,184.81636672000013
4,0.16011984553984088,0.15647492903547408,0.9376068376068376,0.9355769230769231,193.4597710149999
5,0.14030989977793815,0.1344413296152384,0.9459401709401709,0.948076923076923,187.33537279100005
6,0.11884544803163945,0.1558350717792144,0.9565170940170941,0.9392628205128205,182.55855599799997
7,0.1037824628699539,0.13578533472923132,0.9605235042735043,0.9485576923076923,182.21446432899984
8,0.09261847681596748,0.13789908786614735,0.965224358974359,0.9504807692307692,187.9742498659998
9,0.08513496097845909,0.1223674995585894,0.9683760683760684,0.9573717948717949,185.5919568620002
10,0.08090107661281895,0.09762562014735662,0.9696047008547009,0.9641025641025641,183.3621190140002
11,0.06079467056780799,0.10853743948615514,0.9783119658119658,0.9615384615384616,197.59056470799987
12,0.05580811788383712,0.11363960151106883,0.9798076923076923,0.9584935897435898,193.59584210699995
13,0.055979505436033264,0.08804517774245678,0.9793803418803418,0.9701923076923077,181.04487044000007
14,0.04475379211143551,0.11280050631134939,0.9841346153846153,0.9584935897435898,184.22280795300003
15,0.04258758242313678,0.11105745043127965,0.9844551282051283,0.9610576923076923,188.1782653780001
16,0.03736498589571725,0.16209115340159488,0.9862179487179488,0.9551282051282052,183.93303909899987
17,0.039415681419464256,0.09963683082889288,0.9863247863247864,0.9682692307692308,189.49011422500007
18,0.0328138282474799,0.11705926358699799,0.9889957264957265,0.9604166666666667,186.38210202899973
19,0.03219376445835472,0.10997070767558538,0.9884615384615385,0.9666666666666667,188.506104907
20,0.02683777704070776,0.1458381524643837,0.9903311965811966,0.9575320512820513,192.29288326999995
